iter	Passed	Remaining
0	0	241
1	0	217
2	0	205
3	0	196
4	0	197
5	1	196
6	1	196
7	1	196
8	1	200
9	2	200
10	2	200
11	2	198
12	2	196
13	2	195
14	2	193
15	3	194
16	3	194
17	3	194
18	3	193
19	3	193
20	4	192
21	4	191
22	4	191
23	4	190
24	4	190
25	5	189
26	5	189
27	5	188
28	5	188
29	5	187
30	5	187
31	6	187
32	6	186
33	6	186
34	6	186
35	7	187
36	7	187
37	7	187
38	7	187
39	7	187
40	7	186
41	8	185
42	8	185
43	8	185
44	8	185
45	8	185
46	9	184
47	9	184
48	9	184
49	9	184
50	9	184
51	10	183
52	10	183
53	10	183
54	10	183
55	10	183
56	11	182
57	11	183
58	11	182
59	11	182
60	11	182
61	12	181
62	12	181
63	12	181
64	12	181
65	12	181
66	13	181
67	13	181
68	13	180
69	13	180
70	13	179
71	13	179
72	14	178
73	14	178
74	14	178
75	14	178
76	14	178
77	15	178
78	15	178
79	15	178
80	15	178
81	15	178
82	15	176
83	16	176
84	16	176
85	16	175
86	16	175
87	16	175
88	17	175
89	17	175
90	17	175
91	17	175
92	18	175
93	18	175
94	18	175
95	18	174
96	18	174
97	18	174
98	19	173
99	19	173
100	19	173
101	19	173
102	19	173
103	20	174
104	20	174
105	20	174
106	20	173
107	21	173
108	21	173
109	21	173
110	21	173
111	21	172
112	21	172
113	22	172
114	22	172
115	22	172
116	22	171
117	22	171
118	23	170
119	23	170
120	23	170
121	23	170
122	23	170
123	24	170
124	24	169
125	24	169
126	24	169
127	24	169
128	25	169
129	25	168
130	25	169
131	25	169
132	26	169
133	26	170
134	26	170
135	26	170
136	27	170
137	27	169
138	27	169
139	27	169
140	27	169
141	27	168
142	28	167
143	28	167
144	28	167
145	28	167
146	28	167
147	28	166
148	29	166
149	29	166
150	29	166
151	29	165
152	29	165
153	30	165
154	30	165
155	30	165
156	30	165
157	30	165
158	31	164
159	31	164
160	31	163
161	31	163
162	31	163
163	31	163
164	32	162
165	32	162
166	32	162
167	32	162
168	32	162
169	33	162
170	33	161
171	33	161
172	33	161
173	33	161
174	34	160
175	34	160
176	34	160
177	34	160
178	34	159
179	35	159
180	35	159
181	35	159
182	35	158
183	35	158
184	36	158
185	36	158
186	36	158
187	36	157
188	36	157
189	36	157
190	37	157
191	37	156
192	37	156
193	37	156
194	37	156
195	38	157
196	38	156
197	38	156
198	38	156
199	39	156
200	39	156
201	39	155
202	39	155
203	39	155
204	39	154
205	40	154
206	40	154
207	40	154
208	40	154
209	41	154
210	41	154
211	41	153
212	41	153
213	41	153
214	42	154
215	42	153
216	42	153
217	42	153
218	42	153
219	43	153
220	43	152
221	43	152
222	43	152
223	43	152
224	44	151
225	44	151
226	44	151
227	44	151
228	44	150
229	45	150
230	45	150
231	45	150
232	45	149
233	45	149
234	45	149
235	46	149
236	46	149
237	46	148
238	46	148
239	46	148
240	47	148
241	47	147
242	47	147
243	47	147
244	47	147
245	48	147
246	48	147
